date,temperature,uncertainty,month,year
1771-04-01,5.716999999999999,2.647,4,1771
1771-05-01,9.626,3.088,5,1771
1771-06-01,14.104,1.403,6,1771
1771-07-01,13.828,1.435,7,1771
1771-08-01,14.204,2.246,8,1771
1771-09-01,11.363,1.515,9,1771
1771-10-01,10.317,1.721,10,1771
1771-11-01,4.916,2.952,11,1771
1771-12-01,2.522,3.506,12,1771
1772-01-01,1.253,4.624,1,1772
1772-02-01,1.4780000000000002,5.962999999999999,2,1772
1772-03-01,3.057,2.206,3,1772
1772-04-01,8.857999999999997,1.524,4,1772
1772-05-01,9.531,1.844,5,1772
1772-06-01,12.646999999999998,2.4290000000000003,6,1772
1772-07-01,14.581,1.409,7,1772
1772-08-01,14.098,1.641,8,1772
1772-09-01,10.303,1.334,9,1772
1772-10-01,9.268,1.386,10,1772
1772-11-01,7.736000000000001,2.582,11,1772
1772-12-01,5.5120000000000005,2.624,12,1772
1773-01-01,-0.4369999999999998,2.9330000000000003,1,1773
1773-02-01,1.4209999999999998,3.0210000000000004,2,1773
1773-03-01,4.4220000000000015,2.083,3,1773
1773-04-01,9.415,2.095,4,1773
1773-05-01,12.764,2.537,5,1773
1773-06-01,12.811,1.259,6,1773
1773-07-01,14.484000000000002,1.085,7,1773
1773-08-01,13.624,1.162,8,1773
1773-09-01,12.488,1.676,9,1773
1773-10-01,9.206,1.874,10,1773
1773-11-01,3.369,4.817,11,1773
1773-12-01,5.090999999999998,3.787,12,1773
1774-01-01,-0.3249999999999997,4.557,1,1774
1774-02-01,4.914,5.124,2,1774
1774-03-01,5.643,2.779,3,1774
1774-04-01,10.153,3.849,4,1774
1774-05-01,16.025,2.535,5,1774
1774-06-01,15.371,3.891,6,1774
1774-07-01,16.521,3.806,7,1774
1774-08-01,14.099,1.947,8,1774
1774-09-01,10.936,2.115,9,1774
1774-10-01,8.59,2.625,10,1774
1774-11-01,3.029,4.4830000000000005,11,1774
1774-12-01,0.31,3.2710000000000004,12,1774
1775-01-01,4.261,3.435,1,1775
1775-02-01,6.4270000000000005,3.139,2,1775
1775-03-01,7.758999999999999,2.394,3,1775
1775-04-01,7.951999999999999,1.538,4,1775
1775-05-01,11.399,1.846,5,1775
1775-06-01,12.314,2.805,6,1775
1775-07-01,14.719,1.058,7,1775
1775-08-01,14.435,1.093,8,1775
1775-09-01,11.095999999999998,1.459,9,1775
1775-10-01,10.372,2.116,10,1775
1775-11-01,8.179,4.56,11,1775
1775-12-01,1.2839999999999998,2.404,12,1775
1776-01-01,-0.8059999999999999,4.467,1,1776
1776-02-01,4.825,3.762,2,1776
1776-03-01,4.652,2.388,3,1776
1776-04-01,7.439999999999999,1.404,4,1776
1776-05-01,10.475,5.237,5,1776
1776-06-01,14.564,2.4330000000000003,6,1776
1776-07-01,14.108,1.3030000000000002,7,1776
1776-08-01,14.837,3.437,8,1776
1776-09-01,10.602,2.065,9,1776
1776-10-01,8.059999999999999,2.152,10,1776
1776-11-01,5.87,2.7880000000000003,11,1776
1776-12-01,5.021,2.934,12,1776
1777-01-01,6.021000000000001,3.11,1,1777
1777-02-01,4.9190000000000005,5.268,2,1777
1777-03-01,5.572,2.307,3,1777
1777-04-01,6.361999999999999,1.401,4,1777
1777-05-01,11.389,2.117,5,1777
1777-06-01,12.323,1.607,6,1777
1777-07-01,12.743,1.078,7,1777
1777-08-01,12.815,1.269,8,1777
1777-09-01,11.379,2.692,9,1777
1777-10-01,6.956,3.464,10,1777
1777-11-01,5.529,2.276,11,1777
1777-12-01,3.067,2.725,12,1777
1778-01-01,2.521,3.544,1,1778
1778-02-01,6.093999999999999,3.569,2,1778
1778-03-01,4.604,4.151,3,1778
1778-04-01,10.983999999999998,1.69,4,1778
1778-05-01,11.286,1.673,5,1778
